Andromeda			And 	the Chained Maiden 		Andromedae				Андромеда
Antlia				Ant 	the Air Pump 			Antliae					Насос
Apus				Aps 	the Bird of Paradise 	Apodis					Райская птица
Aquarius			Aqr 	the Water Bearer 		Aquarii					Водолей
Aquila				Aql 	the Eagle 				Aquilae					Орёл
Ara					Ara 	the Altar 				Arae					Жертвенник
Aries				Ari 	the Ram 				Arietis					Овен
Auriga				Aur 	the Charioteer 			Aurigae					Возничий
Bootes				Boo 	the Herdsman 			Bootis					Волопас
Caelum				Cae 	the Engraving Tool 		Caeli					Резец
Camelopardalis		Cam 	the Giraffe 			Camelopardalis			Жираф
Cancer				Cnc 	the Crab 				Cancri					Рак
Canes Venatici		CVn 	the Hunting Dogs 		Canum Venaticorum		Гончие псы
Canis Major			CMa 	the Great Dog 			Canis Majoris			Большой пёс
Canis Minor			CMi 	the Lesser Dog 			Canis Minoris			Малый пёс
Capricornus			Cap 	the Sea Goat 			Capricorni				Козерог
Carina				Car 	the Keel 				Carinae					Киль
Cassiopeia			Cas 	the Seated Queen 		Cassiopeiae				Кассиопея
Centaurus			Cen 	the Centaur 			Centauri				Центавр
Cepheus				Cep 	the King 				Cephei					Цефей
Cetus				Cet 	the Sea Monster 		Ceti					Кит
Chamaeleon			Cha 	the Chameleon 			Chamaeleontis			Хамелеон
Circinus			Cir 	the Compass 			Circini					Циркуль
Columba				Col 	the Dove 				Columbae				Голубь
Coma Berenices		Com 	the Bernice's Hair 		Comae Berenices			Волосы Вероники
Corona Australis	CrA 	the Southern Crown 		Coronae Australis		Южная корона
Corona Borealis		CrB 	the Northern Crown 		Constellation charts	Северная корона
Corvus				Crv 	the Crow 				Corvi					Ворон
Crater				Crt 	the Cup 				Crateris				Чаша
Crux				Cru 	the Southern Cross 		Crucis					Южный крест
Cygnus				Cyg 	the Swan 				Cygni					Лебедь
Delphinus			Del 	the Dolphin 			Delphini				Дельфин
Dorado				Dor 	the Swordfish 			Doradus					Золотая рыба
Draco				Dra 	the Dragon 				Draconis				Дракон
Equuleus			Equ 	the Little Horse 		Equulei					Малый конь
Eridanus			Eri 	the River 				Eridani					Эридан
Fornax				For 	the Furnace 			Fornacis				Печь
Gemini				Gem 	the Twins 				Geminorum				Близнецы
Grus				Gru 	the Crane 				Gruis					Журавль
Hercules			Her 	the Hercules 			Herculis				Геркулес
Horologium			Hor 	the Clock 				Horologii				Часы
Hydra				Hya 	the Female Water Snake 	Hydrae					Гидра
Hydrus				Hyi 	the Male Water Snake 	Hydri					Южная гидра
Indus				Ind 	the Indian 				Indi					Индеец
Lacerta				Lac 	the Lizard 				Lacertae				Ящерица
Leo					Leo 	the Lion 				Leonis					Лев
Leo Minor			LMi 	the Lesser Lion 		Leonis Minoris			Малый лев
Lepus				Lep 	the Hare 				Leporis					Заяц
Libra				Lib 	the Scales 				Librae					Весы
Lupus				Lup 	the Wolf 				Lupi					Волк
Lynx				Lyn 	the Lynx 				Lyncis					Рысь
Lyra				Lyr 	the Lyre 				Lyrae					Лира
Mensa				Men 	the Table Mountain 		Mensae					Столовая гора
Microscopium		Mic 	the Microscope 			Microscopii				Микроскоп
Monoceros			Mon 	the Unicorn 			Monocerotis				Единорог
Musca				Mus 	the Fly 				Muscae					Муха
Norma				Nor 	the Carpenter's Square 	Normae					Наугольник
Octans				Oct 	the Octant 				Octantis				Октант
Ophiuchus			Oph 	the Serpent Bearer 		Ophiuchi				Змееносец
Orion				Ori 	the Hunter 				Orionis					Орион
Pavo				Pav 	the Peacock 			Pavonis					Павлин
Pegasus				Peg 	the Winged Horse 		Pegasi					Пегас
Perseus				Per 	the Hero 				Persei					Персей
Phoenix				Phe 	the Phoenix				Phoenicis				Феникс
Pictor				Pic 	the Painter's Easel 	Pictoris				Живописец
Pisces				Psc 	the Fishes 				Piscium					Рыбы
Piscis Austrinus	PsA 	the Southern Fish 		Piscis Austrini			Южная рыба
Puppis				Pup 	the Stern 				Puppis					Корма
Pyxis				Pyx 	the Compass 			Pyxidis					Компас
Reticulum			Ret 	the Reticle 			Reticuli				Сетка
Sagitta				Sge 	the Arrow 				Sagittae				Стрела
Sagittarius			Sgr 	the Archer 				Sagittarii				Стрелец
Scorpius			Sco 	the Scorpion 			Scorpii					Скорпион
Sculptor			Scl 	the Sculptor 			Sculptoris				Скульптор
Scutum				Sct 	the Shield 				Scuti					Щит
Serpens				Ser 	the Serpent 			Serpentis				Змея
Serpens Caput		Ser1 	the Serpent 			Serpentis				Голова змеи
Serpens Cauda		Ser2 	the Serpent 			Serpentis				Хвост змеи
Sextans				Sex 	the Sextant 			Sextantis				Секстант
Taurus				Tau 	the Bull 				Tauri					Телец
Telescopium 		Tel 	the Telescope 			Telescopii 				Телескоп
Triangulum			Tri 	the Triangle 			Trianguli				Треугольник
Triangulum Australe	TrA 	the Southern Triangle 	Trianguli Australis		Южный треугольник
Tucana				Tuc 	the Toucan 				Tucanae					Тукан
Ursa Major			UMa 	the Great Bear 			Ursae Majoris			Большая медведица
Ursa Minor			UMi 	the Little Bear 		Ursae Minoris			Малая медведица
Vela				Vel 	the Sails 				Velorum					Паруса
Virgo				Vir 	the Maiden 				Virginis				Дева
Volans				Vol 	the Flying Fish 		Volantis				Летучая рыба
Vulpecula			Vul 	the Fox 				Vulpeculae				Лисичка
